Rank,Name,Price,1h%,24h%,7d%,Market Cap,Volume(24h),Vol_MC_Ratio,Cap_Category
59,Morpho,1.97,0.21,1.09,1.53,917170000.0,18333745.0,0.01998947305297818,Small Cap
60,Ethena,0.1031,0.04,2.53,4.57,903110000.0,128896074.0,0.1427246669840883,Small Cap
61,DeXe,10.64,0.83,3.32,27.5,891320000.0,13977348.0,0.015681627249472693,Small Cap
62,Quant,68.18,0.37,0.2,2.88,823170000.0,8921899.0,0.01083846471567234,Small Cap
63,GateToken,7.26,0.4,1.16,1.16,818180000.0,4123145.0,0.005039410643134763,Small Cap
64,Aptos,0.9822,0.92,0.72,1.51,792850000.0,63124913.0,0.07961772466418617,Small Cap
65,Worldcoin,0.2369,0.48,0.63,7.19,787420000.0,147744470.0,0.18763108633257983,Small Cap
66,Stable,0.03292,0.11,0.86,7.37,736630000.0,22500281.0,0.030544888207105332,Small Cap
67,Filecoin,0.9385,0.4,1.67,1.07,729090000.0,113394167.0,0.15552835315256003,Small Cap
68,SKYAI,0.7261,0.56,104.46,324.14,726110000.0,233822706.0,0.3220210519067359,Small Cap
69,Arbitrum,0.116,0.83,1.17,8.43,713600000.0,94761083.0,0.13279299747757847,Small Cap
70,JUST,0.08239,0.89,1.6,0.38,703940000.0,27128693.0,0.03853835980339233,Small Cap
